,sex
19749,0.028810246
27962,0.03332754
23077,0.060488466
12681,0.07870465
9144,0.095791034
26971,0.032407437
4907,0.033198625
13308,0.08406469
14737,0.02638657
13857,0.29712436
5116,0.036882
16664,0.15079896
8648,0.03547799
10755,0.07693999
30845,0.13202314
30070,0.03689472
21612,0.028927695
31901,0.045177255
2215,0.07043856
19408,0.028758783
16293,0.026840394
16359,0.039307665
18998,0.09000176
11402,0.026294228
3437,0.032473892
1274,0.032912552
26754,0.04594056
31346,0.026636984
11783,0.029663097
12193,0.026905186
27061,0.026452834
7075,0.026503516
2273,0.059753034
3699,0.035992075
21875,0.02624334
14187,0.035462182
1329,0.027024113
28798,0.04007936
16592,0.026258402
1571,0.030532802
31742,0.027480783
3165,0.026835058
12669,0.026539098
29474,0.029528504
31794,0.03464297
7050,0.029842969
24652,0.034375865
16011,0.051178876
19098,0.02635739
26496,0.027698038
10217,0.11888073
2202,0.031306893
8265,0.042437434
27039,0.02768828
4660,0.066221565
6300,0.06427848
695,0.034446336
30957,0.035922345
29007,0.037995737
484,0.026971992
3733,0.042130824
28012,0.026604878
29015,0.026690837
28163,0.039780747
4834,0.051621966
27592,0.028544445
13531,0.04697915
15085,0.026242478
20464,0.032115564
4129,0.026408026
30159,0.045372847
2306,0.03092271
19047,0.031639036
803,0.028073769
27801,0.04343047
29819,0.062573485
19088,0.031078711
20005,0.027422354
29589,0.028306736
13480,0.026346203
3689,0.026892824
1061,0.02840343
14316,0.036361523
21224,0.026241519
6595,0.026265226
8229,0.026299058
28157,0.04074129
12821,0.029264133
7304,0.028168565
28349,0.067578994
2053,0.027554866
4936,0.029095283
10397,0.026241425
2545,0.027353372
27638,0.026985245
18527,0.026282778
101,0.047020253
21686,0.036065355
6384,0.04433428
24653,0.026692644
28328,0.026620997
2825,0.032696046
31321,0.09692577
31740,0.026892057
14653,0.06509182
24026,0.027206229
24531,0.10783325
20427,0.028425043
12138,0.02927029
27567,0.0388105
6084,0.02998653
6952,0.030538026
10018,0.037557792
2447,0.029054375
30918,0.05974481
4420,0.036400728
2733,0.026249321
